name,category_code,status,funding_total_usd
Pictorious,photo_video,operating,25000
Pixlee,other,operating,1500000
Cyvera,security,operating,13100000
DeNovo Sciences,biotech,operating,1310000
Stockezy,finance,operating,100000
Seevibes,advertising,operating,200000
ApnaPaisa,ecommerce,operating,17200000
MT DIGITAL MEDIA,web,operating,32000000
SKINNYprice,software,operating,100000
TalentBin,web,operating,3200000
Mozaik Media,education,operating,500000
Nuevora,analytics,operating,2250000
Egalet,biotech,operating,24300000
Attracta,network_hosting,operating,2500000
121cast,mobile,operating,270000
Deepclass,ecommerce,operating,4350000
easy2map,software,operating,36000
Negotiant,real_estate,operating,13025
Wi3,hardware,operating,1090000
Poptip,software,operating,3001984
iMedix Inc.,search,closed,2000000
Proofpoint,software,ipo,59000000
MyClean,local,operating,270000
Simple.TV,hardware,operating,5700000
ClarityRay,advertising,operating,500000
Connected Data,analytics,operating,6745000
Incident Technologies,hardware,operating,745000
Rental Kharma,web,operating,15000
Magic Tech Network,,operating,7800000
CallApp,mobile,operating,1000000
RealityMine,mobile,operating,909151
Histogenics,biotech,operating,96400000
Punch!,mobile,operating,2200000
Adisn,advertising,acquired,1000000
Luzern Solutions,ecommerce,operating,3691750
Vanu Coverage,network_hosting,operating,3200000
Envoy Therapeutics,biotech,acquired,1200000
Jebbit,advertising,operating,2250000
Sedicidodici,health,operating,1165500
Sibaritus,hospitality,operating,156300
Highwinds,software,operating,311800000
Quanterix,biotech,operating,41499999
Wear Inns,hospitality,operating,16151032
CareCam Health Systems,software,operating,10200000
Mobile Labs,mobile,operating,2962730
eshtery,mobile,operating,12000
WildTangent,games_video,operating,84000000
Swiftype,search,operating,9200000
Maya Medical,biotech,acquired,6220582
Flint,mobile,operating,11000000
Arctic Diagnostics,medical,operating,3496500
Smart Hydro Power,cleantech,operating,3496500
ThisLife,web,acquired,2750000
StyleSaint,fashion,operating,10100000
Equals6,social,operating,250000
Geosho,enterprise,operating,387804
Protonet,,operating,1200000
Goblinworks,games_video,operating,1647000
Voxeet,mobile,operating,995000
Drawbridge,advertising,operating,20500000
Glider,software,operating,1350000
Gilt Groupe,fashion,operating,236000000
Qoiza,software,operating,80000
TruClinic,other,operating,300000
Outroop,ecommerce,operating,25000
Ascendify,software,operating,1000000
Oneflare,web,operating,476000
Amara,enterprise,operating,1000000
MEDSEEK,software,operating,5500003
KaritKarma,enterprise,operating,30000
True Fit,web,operating,6846036
LetsWombat,advertising,operating,25000
Datical,software,operating,1660000
Zazzle,ecommerce,operating,46000000
MyStore.com,ecommerce,operating,1120000
Secure64,software,operating,4730890
Netlift,transportation,operating,50169
Weather Decision Technologies,other,operating,4000000
mYwindow,web,operating,50000
Cyphort,enterprise,operating,23700000
Shoplins,mobile,operating,350000
Utopia,enterprise,operating,50000000
BioSurplus,biotech,operating,3900000
batterii,software,operating,3300000
Conject,software,operating,5000000
IMT (Innovative Micro Technology),biotech,operating,22000000
Trellis Automation,mobile,operating,550000
LucidPort Technology,hardware,operating,3479850
apozy,security,operating,175000
Quantum OPS,biotech,operating,1050000
Grower's Secret,cleantech,operating,1587500
Smart Destinations,travel,operating,13000000
PixelFish,advertising,operating,8000000
JAZD Markets,advertising,operating,8000000
BeliefNet,web,acquired,7000000
Squla,education,operating,531600
DYNAGENT SOFTWARE SL,software,operating,1215385
Integromics,software,operating,1391700
Tarana Wireless,mobile,operating,14142157
Referly,web,operating,1300000
Skyscraper,advertising,operating,500000
Mortar Data,software,operating,2250000
Tamra-Tacoma Capital Partners,cleantech,operating,60000000
BISON,finance,operating,1330790
Virident Systems,enterprise,acquired,129677153
Regentis Biomaterials,biotech,operating,10000000
Newfield Design,manufacturing,closed,662000
Softgate Systems,finance,operating,7500000
Inoveight Holdings,sports,operating,19294500
Spins.FM,games_video,operating,250000
PLASTIQ,ecommerce,operating,8349996
Sonopia,mobile,operating,21450000
Silver Spring Networks,network_hosting,ipo,283929977
Puzl,search,operating,680000
3Leaf,software,acquired,65000000
Brighter Dental Care,health,operating,15000000
EverybodyCar,social,operating,192645
ChinaCache,network_hosting,operating,32000000
Futurelytics,enterprise,operating,865175
Front Flip,mobile,operating,7700000
Libboo,web,operating,1400000
inMotionNow,enterprise,operating,1251000
Zonoff,software,operating,3800000
Inktank,enterprise,operating,14400000
SkillHound,other,operating,20000
Anchor Intelligence,advertising,operating,6000000
SideStripe,search,operating,250000
LuckyLabs,games_video,operating,3500000
elicit,search,operating,1500000
Curalate,analytics,operating,3750000
VirtualSharp Software,software,acquired,3911750
Mocana,security,operating,50500000
Gather.md,web,closed,20000
BCKSTGR,games_video,operating,1950000
Honeywell,manufacturing,ipo,11400000
Electric Imp,hardware,operating,7900000
Siasto,enterprise,operating,750000
Mitralign,health,operating,42000000
Algiax Pharmaceuticals,biotech,operating,5477340
Zyga Technology,medical,operating,30000000
Vox Mobile,mobile,operating,7500000
StepUp,,acquired,16600000
Emme E2MS,cleantech,operating,5600000
Mercury Payment Systems,ecommerce,operating,2250000
Intuitive Biosciences,biotech,operating,572726
Sonitus Medical,medical,operating,56988993
Sonim Technologies,mobile,operating,33542183
CLEO Communications,software,operating,3500000
Tiger Pistol,advertising,operating,2000000
Liquid Engines,software,operating,5500000
Sennari,software,operating,17000000
Desalitech,cleantech,operating,11250000
rSmart,software,operating,14272148
Magix,web,operating,155000000
UUSEE,web,operating,33500000
Chat& (ChatAnd),web,operating,850000
WageWorks,consulting,operating,20000000
Kipo,hardware,operating,363600
Single Digits,software,operating,12500000
JamHub,music,operating,1316623
Postdeck,news,operating,540000
InTouch Technologies,medical,operating,24100000
Fantasy Feud,games_video,operating,1014597
Kabongo,games_video,operating,2115100
AttorneyFee,legal,operating,250000
EdgeCast Networks,network_hosting,acquired,74000000
Avega Systems,hardware,closed,9500000
Buzz All Stars,sports,operating,2500000
Slingjot,software,operating,1200000
MontaVista Software,software,acquired,21000000
Traverse Networks,network_hosting,acquired,8500000
Anedot,nonprofit,operating,1325000
LV Sensors,hardware,operating,15000000
Selo Reserva,ecommerce,operating,200000
Accelerated Orthopedic Technologies,medical,closed,150000
MathZee,education,operating,15000
Noblivity,manufacturing,operating,15000
WeGather,social,operating,15000
Conformia Software,software,acquired,27250000
Buzz Referrals,advertising,operating,700000
CookItFor.Us,hospitality,operating,75000
Exchangery,enterprise,closed,75000
uBeam,hardware,operating,2119000
"ServusXchange, LLC",software,operating,1950000
Catalist Homes,other,operating,4500000
Jusp,mobile,operating,6307600
MobiliThink,software,operating,30291
CL3VER,software,operating,800000
VerbalizeIt,web,operating,1618000
Bombfell,fashion,operating,730000
UpCounsel,legal,operating,1600000
Hammerhead Systems,hardware,closed,48000000
Heat Biologics,biotech,ipo,7850050
Neopolitan Networks,web,closed,3170000
Soceaniq,software,operating,749000
Packet Design,software,operating,2797295
Food Genius,analytics,operating,2275000
Joystickers,games_video,operating,25000
Audioair,hardware,operating,2450000
GreenLight,social,closed,40331
SpokenLayer,web,operating,854000
LaComunity,real_estate,operating,155220
BluePoint SecurityÂ™,security,operating,1700000
SP3H,cleantech,operating,2808960
Smilebox,photo_video,acquired,14000000
Safer Minicabs,mobile,operating,74745
DotLoop,real_estate,operating,7000000
WorldEscape,advertising,operating,50000
Locate Special Diet,mobile,operating,75000
Catchoom,enterprise,operating,1520580
ZummZumm,social,operating,50000
Duolingo,education,operating,18300000
TallCat,social,operating,2500000
JobScout,web,operating,800000
Jetaport,travel,operating,325000
Dinamundo,mobile,operating,552000
AlphaBoost,advertising,operating,1000000
Scout Labs,enterprise,acquired,4000000
Find That File,search,operating,250000
Kaazing,enterprise,operating,33730000
Viva Vision,web,operating,2000000
Smithfield Case,fashion,operating,1022918
Likelii,hospitality,operating,450000
Solantro Semiconductor,semiconductor,operating,18800000
L2C,analytics,operating,4005616
Bahu,web,closed,1476100
Lasso Logic,software,acquired,4000000
HedgeCo,web,operating,2960000
Tenantry Network,web,operating,30000
Mobilepolice,mobile,operating,30000
SpamLion,software,operating,362500
Apcera,enterprise,operating,7200000
Seekly,web,operating,19000
QUICK Technologies,ecommerce,operating,1980000
Floq,web,operating,250000
XINTEC,mobile,operating,1130130
agreement24 avtal24,legal,operating,2800000
Rentalutions,software,operating,287500
MyPrintCloud,enterprise,operating,1000000
TrekkSoft,software,operating,800000
"Ambri, Inc.",cleantech,operating,15000000
Flowonix,medical,operating,25000000
Gigabit Squared,network_hosting,operating,200000000
Creative Market,public_relations,operating,2300000
TinyTap,education,operating,500000
remocean,other,operating,1254600
EyeVerify,security,operating,3800000
TaxiForSure.com,automotive,operating,4000000
Exhibia,ecommerce,closed,1000000
Monitor Backlinks,software,operating,65000
ArchiveSocial,enterprise,operating,116000
Better Place,cleantech,acquired,835750000
71lbs,analytics,operating,1350000
Cureeo,ecommerce,operating,75000
Fibroblast,enterprise,operating,875000
frintit,advertising,operating,75000
Bill Me Later,web,acquired,100000000
"SKKY, Inc.",other,operating,3240000
Laurus Energy,cleantech,operating,9000000
Whimseybox,ecommerce,operating,75000
Volunia,web,operating,2945400
Project Frog,cleantech,operating,55200000
Startup Freak,advertising,operating,10000
Beeline,software,operating,75000
Soteira,medical,closed,2691807
ShopSpot,ecommerce,operating,628000
Tradegecko,software,operating,660000
Amoobi,mobile,operating,180188
Ecogii Energy Labs,cleantech,operating,500000
Copperfasten,security,closed,627300
NanoOpto,hardware,closed,17000000
Five9,enterprise,operating,84100000
Acacia,mobile,operating,15000
Flightfox,web,operating,800000
Glopho,photo_video,operating,696082
The Etailers,consulting,operating,502640
RentersQ,other,operating,45000
Flocations,travel,operating,611500
Tachyon Networks,hardware,operating,11000000
FiveStars Loyalty,advertising,operating,16050000
Book'n'Bloom,software,operating,884396
Tunepresto,games_video,closed,263400
Amplifinity,enterprise,operating,2500000
Hakia,search,operating,21741980
Bluelock,network_hosting,operating,6116923
Sensee,ecommerce,operating,21915250
Funky Moves,games_video,operating,520095
Black Lotus,security,operating,3500000
revoPT,health,operating,12000
4th aspect,software,operating,1121082
Rant Media Network Inc.,news,operating,3343000
Local Market Launch,advertising,operating,2500000
Ordoro,software,operating,1656165
SportCentral,sports,operating,50000
Atamasoft,software,operating,36198
I AND C-Cruise,cleantech,operating,39104
AppJet,web,acquired,715000
Juneau Biosciences,biotech,operating,5286000
f4samurai,games_video,operating,99310
Bukupe,social,operating,60962
fanbook Inc.,advertising,operating,106779
Bluenote,web,operating,61359
Visionary Fun,web,operating,63768
Netsket,social,operating,64870
rocket staff,games_video,operating,65084
Mobakids,consulting,operating,59377
atokore,web,operating,58438
Aetel.inc  (Droppy),web,operating,57939
Gigathlete,sports,operating,53159
edulio,education,operating,59730
WildBlue,web,acquired,50000000
Elevate Digital,software,operating,4200000
Engagement Media Technologies,enterprise,operating,3000000
Fiesta Frog,games_video,operating,30000
MyMusic,music,operating,972935
Slacker,music,operating,73100000
Dogster,web,acquired,1000000
Kosmix,web,acquired,55000000
My Friend's Lane,ecommerce,operating,10000
InstaEDU,education,operating,5100000
Qello,games_video,operating,1430000
True&Co,fashion,operating,6000000
Jentro Technologies,mobile,operating,29000000
YuMingle,mobile,operating,100000
evermind,hardware,operating,1815000
OurVinyl,music,operating,15000
Kona Medical,medical,operating,61057247
PollVaultr,software,closed,60000
EXTRABANCA,finance,operating,18657000
Stereotaxis,biotech,ipo,10000000
eTax Credit Exchange,finance,operating,350000
iHigh,games_video,operating,19150100
Cool Planet Energy Systems,cleantech,operating,75000000
Southern Dreams,consulting,operating,38764
Spinelab,medical,operating,4900000
gestigon,software,operating,880000
LiveVox,web,operating,12100000
Datahero,analytics,operating,4150000
Kubi Mobi,games_video,operating,50000
KickoffLabs.com,hospitality,operating,1700000
Paypersocial Ltd,advertising,operating,279400
PostRocket,analytics,closed,610000
Edition01,ecommerce,operating,565000
Yabbly,mobile,operating,1495000
Iglu.com,travel,operating,29460808
Transatomic Power Corporation,cleantech,operating,763000
Unutility Electric,cleantech,operating,300000
Pet Insurance Quotes,pets,operating,100000
Easy Vino,hospitality,operating,40000
Civitas Learning,education,operating,15899999
InStore Audio Network,advertising,operating,12000000
Nanoogo,web,operating,150000
Wetradetogether,social,operating,850000
InfoArmy,ecommerce,operating,19300000
Sensegon,advertising,operating,1850000
Novint Technologies,software,operating,10080599
WishClouds,ecommerce,operating,3200000
MoodMe,software,operating,525000
ASOCS,mobile,operating,18522536
raksul,ecommerce,operating,1493038
FX Aligned,finance,closed,1250000
IvyDate,social,operating,1450000
Everist Health,biotech,operating,12541765
AlizÃ© Pharma,biotech,operating,4104210
DCITS,network_hosting,operating,73000000
AVA Solar,cleantech,closed,104000000
DyMynd,enterprise,operating,75000
CrowdPC,software,operating,880000
conXt,web,operating,80000
Wasabi 3D,advertising,operating,120000
Youbetme,games_video,operating,1115000
SaleMove,software,operating,275000
PersonSpot,web,operating,120000
PushPoint,other,operating,1350000
SentreHEART,medical,operating,26000000
COCC,finance,operating,2730000
Propel,cleantech,operating,21500200
idealista.com,ecommerce,operating,6292200
Packetmotion,enterprise,acquired,21170000
Packet Island,software,acquired,2000000
Modusly,ecommerce,operating,79872
WizeHive,enterprise,operating,1080000
gogamingo,games_video,operating,700000
Enertiv,analytics,operating,550000
path intelligence,advertising,operating,1000000
Jasper Wireless,mobile,operating,155300000
Synesis,analytics,operating,2300000
Travefy,web,operating,415000
Iken Solutions,software,operating,2000000
SeedInvest,web,operating,1000000
Donuts,enterprise,operating,101060000
Proxio,real_estate,operating,4000000
DigiMeld,web,closed,2000000
Cortica,advertising,operating,17900000
Breakmoon.com,web,operating,200000
CareinSync,software,operating,2600000
Scrap Connection,other,operating,19713
Datorama,software,operating,3000000
Handybook,other,operating,12000000
Controlus,social,operating,200000
Divshot,web,operating,1100000
Jamplify,advertising,operating,615000
VoloMedia,advertising,closed,12000000
Fredio,advertising,operating,1105001
Greencloud Technologies,enterprise,operating,10902471
PrivateCore,software,operating,2250000
GenomOncology,analytics,operating,1500000
Adore Me,fashion,operating,11500000
Vets First Choice,ecommerce,operating,10500000
Dragonfly,web,operating,3000000
Fisoc,finance,operating,21975429
Fuego Nation,web,closed,1500000
Summize,search,acquired,750000
Crossbeam Systems,security,acquired,24500000
BigML,software,operating,1400000
Exacaster,analytics,operating,530000
Ringadoc,software,operating,3100000
Taste Filter,search,operating,250309
Sidustar International,public_relations,operating,650000
Acsendo,enterprise,operating,150000
DecoSnap,web,operating,40000
Host Committee,web,operating,2500000
Zumper,real_estate,operating,1700000
ProTip,medical,operating,4700000
LoveIt,web,operating,6000000
Gumhouse,fashion,operating,6000000
Mobile Travel Technologies,mobile,operating,5000000
Lucibel,other,operating,12125480
Rizzoma,messaging,operating,400000
Whisk,hospitality,operating,842948
Hinge,social,operating,5249455
Hover 3D,software,operating,7513139
MobileDay,mobile,operating,4009001
Ubooly,mobile,operating,2500000
Bellybaloo,photo_video,operating,105000
Blaze Bioscience,biotech,operating,23225000
WestWing,real_estate,operating,50000000
Mom Trusted,social,operating,1000000
Pixtr,photo_video,operating,20204
ClaimSync,medical,operating,119616
Bablic,software,operating,100000
Norwood Systems,enterprise,operating,750000
THUBIT,social,operating,400000
Fashioholic,games_video,operating,1000000
WomStreet,advertising,operating,35000
Dark Skull Studios,games_video,operating,10000
Pandora Media,music,ipo,56300000
Topell Energy,cleantech,operating,16307200
Alchemy Pharmatech,medical,operating,621221
TUTORize,education,operating,646950
Apiphany,software,acquired,2900000
LLamasoft,software,operating,6100000
Zokos,web,operating,210000
Clarabridge,enterprise,operating,84255816
Applied Identity,advertising,closed,33000000
Clarus Systems,software,operating,8330000
LightSpeed Retail,software,operating,35000000
Digital Domain Media Group,design,closed,58500000
Arctic Sand Technologies,hardware,operating,16200000
Wonder Forge,games_video,operating,1750000
xF Technologies Inc.,cleantech,operating,1500000
Goodreads,web,acquired,2750000
Hone and Strop,fashion,operating,375000
HG Data Company,analytics,operating,4259998
Care at Hand,health,operating,550000
Revl,web,operating,2000000
Zenda Technologies,biotech,operating,3000000
HaulerDeals,fashion,operating,1250000
C8 Sciences,education,operating,320000
GoHealth,health,operating,50000000
Featurespace,software,operating,2331032
Isentropic,cleantech,operating,22000000
Novast Laboratories,biotech,operating,20000000
Indow Windows,cleantech,operating,3900000
eXenSa,ecommerce,operating,189154
Cennox,finance,operating,4663525
Unyqe,software,closed,35000
Openet,software,operating,21000000
Ribbit,mobile,acquired,11000000
ReCellular,mobile,operating,15000000
Skynet Labs,enterprise,operating,457622
Neuron Systems,biotech,operating,8960000
Veam Video,enterprise,operating,363385
360imaging,biotech,operating,5500000
Tetraphase Pharmaceuticals,biotech,operating,60000000
PetHub,software,operating,4750000
Kickfire,software,closed,20000000
Guitar Party,music,operating,16500
Tapstream,software,operating,681668
Classana,education,operating,26500
Expand Networks,hardware,acquired,17500000
LastRoom,mobile,operating,25000
Interactive Performance Solutions,software,operating,400000
Zero2IPO,web,operating,60000000
HandsFree Networks,software,operating,4000000
Spring Mobile Solutions,mobile,operating,100591501
Refocus Imaging,software,operating,250000
Global Blood Therapeutics,biotech,operating,40700000
WorkWith.me,other,closed,250000
Schooner Information Technology,enterprise,acquired,35000000
Playdate App,games_video,operating,100000
TreSensa,games_video,operating,1300000
LabDoor,mobile,operating,250000
"Lestis Wind, Hydro & Solar",cleantech,operating,10000000
Rush Points,advertising,operating,250000
Epplament Energy,cleantech,operating,15000000
Nara Logics,web,operating,7200000
"LegalCrunch, Inc.",legal,operating,20000
Thatgamecompany,games_video,operating,5500000
Regaalo,ecommerce,operating,125000
PAAY,mobile,operating,8150000
Netadmin,web,operating,12410520
Diwanee,advertising,operating,3250000
LABOMAR,biotech,operating,6903050
Axial Exchange,software,operating,8632407
Picomize,photo_video,closed,12000
Contemporary Analysis,enterprise,operating,15798
Jobvite,social,operating,30450000
Azimo,web,operating,1000000
Paloma Mobile,mobile,operating,1500000
Aidin,software,operating,600000
Sorted,ecommerce,operating,3591
KloudNation,enterprise,operating,2000000
Unique Microguides,web,operating,575000
HubPages,web,operating,8000000
Mercury Puzzle,web,operating,357125
ViaCyte,biotech,operating,55600000
aevi,web,operating,176000
The One-Page Company,software,operating,1800000
ArcSight,software,acquired,26914000
mymxlog,software,operating,289256
AdYouNet,advertising,closed,1400000
Silverpop,advertising,operating,40000000
ONStor,network_hosting,acquired,65800000
Migo.me,web,operating,300000
Sano Intelligence,analytics,operating,3770000
Liquid Health Labs,health,operating,100000
Calixar,biotech,operating,1104075
Columbia Green Technologies,cleantech,operating,1200000
Adcade,advertising,operating,1500000
Radical Studios,games_video,operating,5300000
Provigent,semiconductor,acquired,32000000
myDrugCosts,enterprise,operating,190000
ideeli,ecommerce,operating,106800000
Geosign,web,operating,160000000
Bluebox,security,operating,9500000
RingCube Technologies,software,acquired,26000000
Meru Networks,mobile,ipo,163600000
Apttus,software,operating,37000000
Rheti Inc,mobile,operating,50000
AvocadoÂ™,software,operating,2150000
HiringThing,software,operating,1000000
Splurgy,enterprise,operating,550000
Nuevolution,biotech,operating,13880900
Ablative Solutions,biotech,operating,16355500
Valence Health,analytics,operating,30000000
Burst.it,web,operating,3450000
Near Infinity,software,operating,17000000
ddmap.com,web,operating,40000000
Unique Squared,ecommerce,operating,1000000
Science Behind Sweat,analytics,operating,50000
RJMetrics,software,operating,7450000
Goal Zero,hardware,operating,10918691
SUNDAYTOZ,games_video,operating,3000000
MOO.COM,web,operating,5000000
Ads Click,advertising,operating,6950000
Tinkoff Digital,mobile,operating,20000000
SK hynix,semiconductor,operating,40000000
Transera Communications,software,operating,37000000
Rohati Systems,software,acquired,11000000
Evergram,messaging,operating,1600000
Maximum Balance Foundation,education,operating,1000
Freak'n Genius,public_relations,operating,475000
Stockr,finance,operating,1500000
Digital Union,software,closed,1700000
Streamezzo,mobile,acquired,45520000
Verient,software,operating,10379997
Brainz Games,games_video,operating,2100000
MusicHype,analytics,operating,1000000
Ravenflow,software,operating,20700000
DataGravity,software,operating,42000000
Gradient X,mobile,acquired,3750000
Aricent Group,software,operating,64700000
Plivo,mobile,operating,1750000
Zao.com,social,operating,1300000
Zilico,biotech,operating,1546558
Veran Medical Technologies,medical,operating,19848691
Semblee_,social,operating,150000
Squirro,analytics,operating,1500000
REVENTIVE,mobile,operating,200000
Keep Holdings,fashion,operating,86000000
Madefire,mobile,operating,9918168
Rage Frameworks,enterprise,operating,15000000
DropShip,software,operating,4300000
Live Gamer,games_video,operating,43100000
Gyft,mobile,operating,6250000
Contur,messaging,closed,20000
Atooma,mobile,operating,397200
Lifeproof,mobile,acquired,2764700
Zapier,software,operating,1200000
CarHound,automotive,operating,150000
Cognitive Networks,network_hosting,operating,6000000
NaturalMotion Games,games_video,operating,11000000
Springfield Healthcare,health,operating,6908483
en-Gauge,security,operating,3983400
Mynt Facilities Services,local,operating,1020571
Santaris Pharma,biotech,operating,12000000
vushaper,games_video,operating,200000
OBOOK,software,operating,275000
Biomimedica,medical,operating,11900000
Shoeboxed,web,operating,2511360
payleven,mobile,operating,15233000
Carhoots.com,automotive,operating,240000
The Otherland Group,web,operating,125000
Addy,web,operating,300000
Virtuata,security,acquired,6000000
real5D,real_estate,operating,1200000
Maventus Group,software,operating,800000
Kalpesh Wireless,mobile,operating,1200000
UniKey Technologies,mobile,operating,2350000
BioAnalytical Systems,biotech,operating,127890
Sevo Nutraceuticals,,operating,300000
Unreal Brands,hospitality,operating,18689487
Juice Wireless,network_hosting,operating,15300000
Foap AB,mobile,operating,1756245
Axiom Education,software,operating,300000
qunb,software,operating,500000
RadPad,mobile,operating,1000000
Happy Metrix,analytics,operating,157450
Zoomph,analytics,operating,500000
Sustainable Real Estate Solutions,real_estate,operating,2939133
Link To Media,web,operating,250000
Rabixo,ecommerce,operating,115000
CloudCar,enterprise,operating,11500000
Videonline Communications,web,closed,12000000
KienVe,mobile,operating,40000
Achievo(R) Corporation,software,operating,24000000
CENX,network_hosting,operating,9500000
Kapow Events,other,operating,1600000
Prioria Robotics,hardware,operating,9779999
Viveve,hardware,operating,7210000
Cortina Systems,hardware,operating,162000000
Aquest Systems,hardware,closed,20000000
Endorphin.me,enterprise,operating,250000
CrowdFlower,enterprise,operating,13200000
Avanir Pharmaceuticals,biotech,operating,30000000
Medical Solutions,web,operating,32500000
Episencial,ecommerce,operating,1944669
Reebonz,ecommerce,operating,78000000
MobilityBee.com,mobile,operating,100000
Samba Ads,advertising,operating,500000
Power Plus Communications,network_hosting,operating,14970000
Side.Cr,mobile,operating,10000000
Freshplum,analytics,operating,3425000
WeShow,games_video,closed,5000000
Wallaby Financial,finance,operating,1100000
Traxpay,finance,operating,4000000
Mu Dynamics,network_hosting,acquired,24000000
Paylocity,software,operating,10000000
Clever,education,operating,13020000
Sellbox,web,operating,9000
Multigig,semiconductor,acquired,37891054
Paybook,software,operating,475000
deCarta,software,operating,56063148
Where My Dogs At,social,operating,30000
BA Systems,hardware,closed,10000000
Appcara Inc,enterprise,operating,350000
Sensory Networks,web,acquired,17400000
CloudByte,enterprise,operating,6100000
ChipVision Design,semiconductor,closed,10900000
SOL REPUBLIC,,operating,27256014
RSI Content Solutions.,software,operating,2300000
Falcon Social,enterprise,operating,7719600
Hundo,mobile,operating,50000
Qik,mobile,acquired,14800000
ECI Telecom,network_hosting,operating,172500000
Accumuli Security,security,operating,8033458
Cbazaar,ecommerce,operating,3500000
Veraz Networks,web,ipo,10000000
TriCipher,enterprise,acquired,40100000
Dwllr,software,operating,20000
CrowdHall,web,operating,770000
Aperto Networks,mobile,acquired,158101114
Exotel,messaging,operating,500000
ID Analytics,web,acquired,35150000
Therapydia,health,operating,6300000
ProfitBricks,enterprise,operating,19500000
Quikly,web,operating,1022820
Achronix Semiconductor,semiconductor,operating,135776263
VolunteerSpot,nonprofit,operating,1500000
UPEK,security,acquired,6200000
United Travel Technologies,public_relations,closed,6000000
Arch Rock Corporation,software,acquired,15000000
Psykospft,software,operating,500000
Sykio,software,operating,1247800
REBIScan,medical,operating,100000
Flixwagon,mobile,operating,2500000
Actelis Networks,network_hosting,operating,57616859
Veracode,security,operating,74260328
Carena,medical,operating,14000000
General Mobile Corporation,mobile,operating,5000000
Startup Stock Exchange,finance,operating,775000
Context Relevant,analytics,operating,11104000
DraftKings,games_video,operating,35400000
ColorModules,search,operating,1300000
AFAR,web,operating,16000000
Yodo1,advertising,operating,18000000
Allmoxy,software,operating,1000000
vLine,enterprise,operating,1500000
Balanced,ecommerce,operating,3550000
Gemmus Pharma,biotech,operating,1800000
Sonendo,biotech,operating,33131874
Empyrean Benefit Solutions,web,operating,41185512
Cafe Press,web,ipo,15500000
DogVacay,pets,operating,22000000
Mural.ly,social,operating,775000
Pitchbrite,web,acquired,200000
KlickEx,finance,operating,1330000
Archy,web,operating,173628
Intellon Corporation,semiconductor,acquired,18000000
NetDevices,software,acquired,25000000
MavenHut,games_video,operating,736443
Widespace,advertising,operating,3746400
CUPP Computing,hardware,operating,200000
Double Fusion,web,operating,59000000
Aicent,mobile,operating,144500000
Food Reporter,hospitality,operating,60000
Directr,photo_video,operating,1100000
ThriveHive,advertising,operating,1500000
Nativoo,travel,operating,500000
CompareMyFare,mobile,operating,500000
Click With Me Now,web,operating,800000
LedgerPal Inc.,ecommerce,operating,250000
Twenty20.com,photo_video,operating,1700000
#waywire,news,acquired,1750000
Morphlabs,enterprise,operating,22000000
Librestream Technologies Inc.,public_relations,operating,8592885
YouAppi,mobile,operating,2000000
CoinKeeper,finance,operating,100000
CollabRx,,acquired,1564572
Tegal Corporation,,operating,585197
Mantara,software,operating,50594855
Scholrly,education,operating,50000
Global Experience,other,operating,50000
Aniika,ecommerce,operating,500000
CheapFlightsFinder,search,operating,30000
5th Finger,mobile,operating,7000000
Workable,software,operating,906940
Interleukin Genetics,health,ipo,15000000
GeneAssess,biotech,operating,500000
SocialMeterTV,social,operating,40000
AFG Media,fashion,operating,6577615
LUMOback,software,operating,6100100
Arteris,hardware,operating,25300000
Skyline Innovations,cleantech,operating,3000000
Tamago,web,closed,150000
Hmall.ma,ecommerce,operating,1600000
L8 SmartLight,hardware,operating,33000
MobilyTrip,mobile,operating,367800
CareFlash,web,operating,600000
emotion.me,other,operating,250000
SourceLabs,enterprise,closed,7000000
Barkbox,pets,operating,6725000
HSystem,hospitality,operating,500000
Socialbomb,games_video,acquired,240000
Inbiomotion,biotech,operating,2500000
Likehack,web,operating,150000
PT Harapan Inti Selaras,ecommerce,operating,100000
LeadPoint,enterprise,operating,12500000
5minutes,web,operating,15873
Hassle.com,ecommerce,operating,413698
SNTMNT,analytics,operating,50000
Tenlegs,software,operating,1500000
Pombai,travel,operating,65118
PlayFirst,games_video,operating,37720000
Feathr,mobile,operating,255606
NotesFirst,health,operating,20118
Ensenda,software,operating,12100900
GENERAL MEDICAL MERATE,manufacturing,operating,16153800
Opara,mobile,operating,20118
GreenOwl Mobile,mobile,operating,2000000
Libersy,ecommerce,operating,2243200
Fatwire,software,acquired,8100000
Greenstack,mobile,acquired,600000
Vilynx,,operating,473040
Nitrous.IO,enterprise,operating,1000000
Sookbox,software,operating,575000
Procured Health,enterprise,operating,1100000
Nulu,news,operating,1750000
Terracotta,software,acquired,23500000
LifeAssist,software,operating,851740
AppHero,mobile,acquired,1800000
RipCode,software,closed,33000000
Veodin,software,operating,129390
BankFacil,web,operating,1400000
octoScope,consulting,operating,150000
Conversion Innovations,advertising,operating,2483464
NetVision,software,acquired,4109607
Dog Digital,consulting,operating,1595047
Flipps,mobile,operating,457835
SoundFit,web,operating,72000
Prometheus Civic Technologies (ProCiv),software,operating,1190000
Preen.Me,ecommerce,operating,800000
Incoming Media,mobile,operating,1100000
iwoca,ecommerce,operating,3232069
AppMesh,enterprise,operating,3000000
Anchovi Labs,photo_video,closed,15000
wongsang Worldwide,advertising,operating,300000
Ceradis,cleantech,operating,5569650
SnapHealth,health,operating,250000
NextInput,hardware,operating,425000
